date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:54	2115/2115	---M--	200	added ('OK')	image/png	etag:%225a186c1e-843%22	https://colorlib.com/etc/dup/img/logo2.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/logo2.png	(from https://colorlib.com/etc/dup/elements.html)
01:01:56	14520/14520	---M--	200	added ('OK')	image/jpeg	etag:%225a186c21-38b8%22	https://colorlib.com/etc/dup/img/d.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/d.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:01:56	1879/1879	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1a-757%22	https://colorlib.com/etc/dup/img/f1.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f1.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:01:58	1957/1957	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1b-7a5%22	https://colorlib.com/etc/dup/img/f2.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f2.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:01:59	2423/2423	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1c-977%22	https://colorlib.com/etc/dup/img/f3.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f3.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:00	1559/1559	---M--	200	added ('OK')	image/jpeg	etag:%225a186c19-617%22	https://colorlib.com/etc/dup/img/f4.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f4.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:00	1825/1825	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1a-721%22	https://colorlib.com/etc/dup/img/f5.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f5.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:01	1427/1427	---M--	200	added ('OK')	image/jpeg	etag:%225a186c19-593%22	https://colorlib.com/etc/dup/img/f6.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f6.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:01	1516/1516	---M--	200	added ('OK')	image/jpeg	etag:%225a186c17-5ec%22	https://colorlib.com/etc/dup/img/f7.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f7.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:02	1343/1343	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1e-53f%22	https://colorlib.com/etc/dup/img/f8.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f8.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:02	13585/13585	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1a-3511%22	https://colorlib.com/etc/dup/img/g1.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g1.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:03	46881/46881	---M--	200	added ('OK')	image/jpeg	etag:%225a186c19-b721%22	https://colorlib.com/etc/dup/img/g2.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g2.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:04	16919/16919	---M--	200	added ('OK')	image/jpeg	etag:%225a186c17-4217%22	https://colorlib.com/etc/dup/img/g3.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g3.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:04	21025/21025	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1b-5221%22	https://colorlib.com/etc/dup/img/g4.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g4.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:05	26125/26125	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1a-660d%22	https://colorlib.com/etc/dup/img/g5.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g5.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:05	32228/32228	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1b-7de4%22	https://colorlib.com/etc/dup/img/g6.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g6.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:05	11181/11181	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1c-2bad%22	https://colorlib.com/etc/dup/img/g7.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g7.jpg	(from https://colorlib.com/etc/dup/elements.html)
01:02:07	16790/16790	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1e-4196%22	https://colorlib.com/etc/dup/img/g8.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g8.jpg	(from https://colorlib.com/etc/dup/elements.html)
